"","cluster_id","depth_m","seaTemp","seaSal","seaPH","seaTCO2","seaTA","seaDO","seaChl","seaSi","seaNH4","seaNO3","seaNO2","seaPO3","distanceSho","ta_hucMean","ta_hucMax","ta_hucMin","numberRiv_15km","composite_fw_expose","composite_fw_exp_mo","flowYear_cfs","flowYear_m3s","month","distanceRiv","soilpH_hucMean","soilpH_hucMax","lat","lon","latInteger","year","day","upwell","upwellN","depth_bin","date_only","dataset_id"
"47","C104",0,20.72,35.74,NA,2225.31,2421.92,NA,NA,NA,NA,NA,NA,NA,0,1971.75757575758,6400,60,29,0.945345819168541,0.0528491911570276,1.33,0.037661344,9,1720.36243748156,61.4284765489768,84,38.134,-122.878,38,2009,22,0.446,0.528,0,2009-09-22,38
"48","C1040",2,15.275,33.5241,NA,2016.24,2237.56,251.8941,0.485,2.41028521545404,NA,0,0.041960430876325,0.351296630592491,2.95662949915957,4834.5717948718,9600,1,11,0.16787265206731,0.78525126277265,0.88,0.024918784,2,2892.64254744593,71.001846073107,80,33.4877,-117.7687,33,2014,4,0.309,0.671,0,2014-02-04,25
"49","C1041",2,14.686,33.4949,NA,2031.18,2239.03,247.075,1.454,4.39075716394939,NA,1.85387524700085,0.365896430329115,0.478104668963377,6.14873732409794,7759.13020833333,39600,1228.66666666667,3,0.0265257246164649,0.0876554992794362,8.166,0.2312349888,2,8761.52183220779,71.5098210639818,84,33.8895,-118.4925,34,2014,4,0.793,2.822,0,2014-02-04,25
"50","C1042",0,11.3,33.19,NA,NA,2218.85,283.6625003,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,2.36873264923158,0,0,2,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,4,0.607,7.882,0,2014-02-04,28
"51","C1043",30,14.048,33.4084,NA,2039.79,2229.77,238.3435,0.908,4.01971603468022,NA,2.5367140024681,0.070247464683732,0.556125762079545,2.95662949915957,4834.5717948718,9600,1,11,0.16787265206731,0.78525126277265,0.88,0.024918784,2,2892.64254744593,71.001846073107,80,33.4877,-117.7687,33,2014,4,0.309,0.671,2,2014-02-04,25
"52","C1044",32,14.194,33.4549,NA,2049.74,2236.65,229.1921,0.712,5.83441118541291,NA,4.09774698641041,0.591246350896359,0.63417512884923,6.14873732409794,7759.13020833333,39600,1228.66666666667,3,0.0265257246164649,0.0876554992794362,8.166,0.2312349888,2,8761.52183220779,71.5098210639818,84,33.8895,-118.4925,34,2014,4,0.793,2.822,2,2014-02-04,25
"53","C1045",10.8,14.57,33.2,8.03,NA,2236.4,NA,NA,NA,NA,NA,NA,NA,0.879233333028032,5059.69863731656,36800,471,12,0.158766301961745,0.692326707328216,2.856,0.0808727808,2,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2014,5,1.592,6.41,0,2014-02-05,36
"54","C1046",10,13.89,33,8.009,NA,2232.7,NA,NA,NA,NA,NA,NA,NA,0.931848001801914,5059.69863731656,36800,471,20,0.134153116552251,0.55250004002449,0.599,0.0169617632,2,557.943255903644,67.1936659179238,79,34.465,-120.1196,34,2014,5,1.592,6.41,0,2014-02-05,36
"55","C1047",1,16.38,33.1,8.229,NA,2230.9,NA,NA,NA,NA,NA,NA,NA,1.28362450026653,5059.69863731656,36800,471,14,0.163047655781802,0.6442896421938,0.184,0.0052102912,2,451.042781509782,67.1936659179238,79,34.4067,-119.8775,34,2014,10,1.027,4.635,0,2014-02-10,36
"56","C1048",1,14.2,33.15,8.0575,NA,2197.15,NA,NA,NA,NA,NA,NA,NA,0,4480.42391304348,39800,543,5,1.03172657129884,4.74054694607918,107.538,3.0451320384,2,3054.53271377343,69.8626089002545,80,34.7188,-120.6088,35,2014,10,0.415,3.267,0,2014-02-10,36
"57","C1049",10.8,14.61,32.9,8.034,NA,2237.7,NA,NA,NA,NA,NA,NA,NA,0.879233333028032,5059.69863731656,36800,471,12,0.158766301961745,0.692326707328216,2.856,0.0808727808,2,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2014,11,0.962,4.061,0,2014-02-11,36
"58","C105",0,19.38,35.3,NA,2132.32,2328.45,NA,NA,NA,NA,NA,NA,NA,0.420543118149781,1971.75757575758,6400,60,29,0.991859130044898,0.0560349687962774,0.093,0.0026334624,9,1043.82951353834,61.4284765489768,84,38.147,-122.892,38,2009,22,0.446,0.528,0,2009-09-22,38
"59","C1050",5,14.81,32.8,8.129,NA,2232,NA,NA,NA,NA,NA,NA,NA,0.876111555612664,5059.69863731656,36800,471,12,0.158766301961745,0.692326707328216,2.856,0.0808727808,2,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2014,16,0.544,2.236,0,2014-02-16,31
"60","C1051",2,12.55,28.985,7.849247036,NA,2097.485,225.52306005,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,3.66653900387518,0.939,0.0265894752,2,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2014,18,0.262,3.022,0,2014-02-18,38
"61","C1052",10.8,14.4,32.9,8.01,NA,2238.4,NA,NA,NA,NA,NA,NA,NA,0.879233333028032,5059.69863731656,36800,471,12,0.158766301961745,0.692326707328216,2.856,0.0808727808,2,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2014,19,0.91,4.698,0,2014-02-19,36
"62","C1053",0,11.8,33.1,NA,NA,2184.2,260.1968015,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,2.36873264923158,0,0,2,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,21,1.06,12.033,0,2014-02-21,28
"63","C1054",2,12.1,31.57,NA,NA,2194.48,222.0974972,NA,NA,NA,NA,NA,NA,0.159188082376575,1971.75757575758,6400,60,29,1.03603698573736,3.50352680690104,0.218,0.0061730624,2,872.439695961189,61.4284765489768,84,38.16,-122.91,38,2014,27,-0.704,-7.702,0,2014-02-27,38
"64","C1055",2,12.7,29.84,7.882032427,NA,2139.23,222.3972869,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,3.66653900387518,0.939,0.0265894752,2,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2014,27,-0.704,-7.702,0,2014-02-27,38
"65","C1056",0,12.8,31.27,NA,NA,2214.58,242.4079376,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,1.82394690047293,0,0,3,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,6,0.285,2.531,0,2014-03-06,28
"66","C1057",0,12.8,32.97,NA,NA,2223.64,264.9962654,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,1.82394690047293,0,0,3,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,12,0.873,7.345,0,2014-03-12,28
"67","C1058",10.8,15.67,32.8,8.056,NA,2231.9,NA,NA,NA,NA,NA,NA,NA,0.879233333028032,5059.69863731656,36800,471,12,0.158766301961745,0.53483719020638,2.856,0.0808727808,3,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2014,13,-0.312,-1.026,0,2014-03-13,36
"68","C1059",10,15.41,32.8,8.057,NA,2229.1,NA,NA,NA,NA,NA,NA,NA,0.931848001801914,5059.69863731656,36800,471,20,0.134153116552251,0.514949617594284,0.599,0.0169617632,3,557.943255903644,67.1936659179238,79,34.465,-120.1196,34,2014,13,-0.312,-1.026,0,2014-03-13,36
"69","C106",0,18.14,35.03,NA,2048.14,2317.97,NA,NA,NA,NA,NA,NA,NA,0.504794668435546,1971.75757575758,6400,60,29,1.05752566996781,0.0600240613259984,1.711,0.0484500448,9,889.572499140555,61.4284765489768,84,38.161,-122.906,38,2009,22,0.446,0.528,0,2009-09-22,38
"70","C1060",2,15.55,29.27,NA,2075.66,2180.945,292.500982,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,2.50093350969095,0.939,0.0265894752,3,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2014,20,0.437,5.345,0,2014-03-20,38
"71","C1061",0,11.1,33.04,NA,NA,2199.97,255.1445206,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,1.82394690047293,0,0,3,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,21,0.556,6.893,0,2014-03-21,28
"72","C1062",0,12.3,33,NA,NA,2194.01,248.922596,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,1.82394690047293,0,0,3,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2014,24,0.086,1.256,0,2014-03-24,28
"73","C1063",1,15.27,32.9,8.236,NA,2212.7,NA,NA,NA,NA,NA,NA,NA,1.28362450026653,5059.69863731656,36800,471,14,0.163047655781802,0.590957531615917,0.184,0.0052102912,3,451.042781509782,67.1936659179238,79,34.4067,-119.8775,34,2014,25,0.747,3.816,0,2014-03-25,36
"74","C1064",1,14.04,33.2,7.988,NA,2214.25,NA,NA,NA,NA,NA,NA,NA,0,4480.42391304348,39800,543,5,1.03172657129884,7.95015507587711,107.538,3.0451320384,3,3054.53271377343,69.8626089002545,80,34.7188,-120.6088,35,2014,27,0.23,1.576,0,2014-03-27,36
